a	art. 一（个）；每一（个）
catalog	n. 目录，目录册；一系列 vt. 将…编入目录， 将编目
catalogue	n. 目录 v. 为…编目录，把…列入目录中
catch	v. 捉住；赶上；领会
category	n. 种类， 类， 类别
cater	v. 迎合
cathedral	n. 总教堂；大教堂
cattle	n. 牛； 牲口， 家畜
cause	n. 原因；理由；事业
caution	n. 小心，谨慎 v. 警告，告诫
cautious	adj. 十分小心的， 谨慎的
cave	n. 山洞，洞穴，窑洞
cease	v. 停止，停息 n. 停止，停息
ceiling	n. 天花板，顶蓬
celebrate	v. 庆祝；歌颂，赞美
cell	n. 细胞；小房间
cellar	n. 地窑，地下室
cement	n. 水泥，胶泥 vt. 黏结； 巩固， 使团结
cent	n. 分；分币
center	n. 圆心， 正中； 中心
centigrade	adj. 百分度的； 摄氏的
centimetre	n. 公分， 厘米
central	adj. 中心的；主要的
centre	n. 中心；中枢 v. 集中
century	n. 世纪；百年
ceremony	n. 典礼， 仪式， 礼节
certain	adj. 肯定的；确实的
certainly	adv. 一定，必定；当然
certainty	n. 必然；肯定
certificate	n. 证书，证件，执照；（毕业）文凭，合格证书
chain	n. 链，链条
chair	n. 椅子；主席
chairman	n. 主席；议长，会长
chalk	n. 白垩；粉笔
challenge	n. 挑战；邀请比赛；艰巨的任务；怀疑，质问 vt. 反对， 公然反抗； 向…挑战； 对…质疑
chamber	n. 〔人体内或某些机器中的〕室，腔；会议室；房间
champion	n. 冠军， 得胜者； 捍卫者， 拥护者
chance	n. 机会，机遇；可能性
change	n. 改变，变化；零钱
channel	n. 海峡， 水道， 航道； 渠道， 途径； 频道
chaos	n. 混乱， 紊乱
chap	n. 小伙子， 男人， 家伙
chapter	n. 章， 回， 篇
character	n. 性格， 特性； 性质； 人物， 角色； 符号； 字
characteristic	adj. 特有的，典型的 n. 特性
characterize	vt. 成为…的特征， 以…为特征； 描绘的特性， 描述
charge	v. 索价；控告；充电，充满；向前冲 n. 费用； 管理； 控告， 指责； 电荷， 充电
charity	n. 救济金， 施舍物； 慈善团体， 慈善事业； 宽大， 宽容
charm	n. 迷人的特性，魅力；符咒，咒文 vt. 吸引， 迷住
charming	adj. 迷人的，可爱的
chart	n. 图表；航海图 vt. 用图表表示， 在图上表示
charter	adj. 包租的， 租用的 n. 宪章，共同纲领；特许状，许可证；包租 vt. 包，租
chase	v. 追逐， 追赶； 追求
chat	v. 聊天
cheap	adj. 廉价的；劣质的
cheat	v. 欺骗；作弊；哄，行骗 n. 欺骗， 欺骗行为； 骗子
check	v. 检查；制止 n. 检查
cheek	n. 面颊，脸蛋
cheer	v. 使振作；欢呼
cheerful	adj. 快乐的， 愉快的； 使人感到愉快的
cheese	n. 奶酪，干酪
chef	n. 厨师
chemical	adj. 化学的 n. 化学制品
chemist	n. 化学家， 药剂师
chemistry	n. 化学
cheque	n. 支票
cherish	vt. 珍爱； 怀有
cherry	n. 樱桃；樱桃树
chess	n. 棋；国际象棋
chest	n. 胸腔， 胸膛； 箱子
chew	vt. 咀嚼， 嚼碎
chicken	n. 鸡；鸡肉
chief	adj. 主要的，为首的；总的 n. 首领， 长官； 酋长， 族长
child	n. 小孩，儿童；儿子/女儿
childhood	n. 童年， 幼年， 早期
childish	adj. 孩子的；幼稚的
chill	v. 变冷，感到冷 n. 寒冷， 寒气； 风寒， 寒战
chimney	n. 烟囱，烟筒
chin	n. 颏， 下巴
China	n. 中国
Chinese	adj. 中国的 n. 中国人
chip	n. 屑片， 碎片； 炸土豆条； 集成电路片， 集成块； 缺口， 瑕疵
chocolate	n. 巧克力；巧克力糖
choice	n. 选择，抉择
choke	vt. 使窒息； 塞满， 塞住
choose	v. 选择，挑选；情愿
chop	vt. 砍，劈；切细 n. 排骨
Christ	n. 基督， 救世主
Christian	adj. 基督教的 n. 基督教徒，信徒
Christmas	n. 圣诞节
church	n. 教堂，礼拜堂；教会
cigar	n. 雪茄烟
cigaret	n. 香烟，纸烟，卷烟
cigarette	n. 香烟， 纸烟， 卷烟
cinema	n. 电影院；电影，影片
circle	n. 圆；圆周；圈子
circuit	n. 电路， 线路； 环行， 巡行
circular	adj. 圆的；循环的；兜圈子的 n. 通知， 通告
circulate	v. 循环， 流通； 流传， 散布， 传播
circulation	n. 循环； 流传； 发行， 流通
circumference	n. 圆周，周长，圆周线
circumstance	n. 情况， 条件； 境遇， 境况； 经济情况
cite	vt. 引用， 引证； 传唤， 传讯； 表彰， 嘉奖
citizen	n. 市民，城镇居民；公民
city	n. 城市，都市
civil	adj. 公民的； 文职的； 民用的； 民事的， 民法的； 文明的
civilian	n. 平民， 百姓
civilization	n. 文明， 文化； 开化
civilize	vt. 使文明， 使开化， 教育
civilized	adj. 文明的
claim	vt. 声称，主张；对…提出要求，索取；以…为其成果；需要，值得 n. 要求， 认领， 索赔； 声称； 断言
clap	v. 拍手，轻拍 n. 拍手， 鼓掌
clarify	vt. 澄清， 阐明
clash	vi. 发生冲突；不协调；砰地相撞，发出刺耳的撞击声 n. 冲突； 不协调； 刺耳的撞击声
clasp	n. 扣子，钩子；别针
class	n. 班，班级；阶级；等级
classic	adj. 最优秀的，典型的，标准的；传统式样的，典雅的 n. 文学名著， 经典作品， 杰作； 优秀的典范； 古典文学， 古典语文研究
classical	adj. 古典的， 经典的
classification	n. 分类， 分级， 分类法； 类别， 级别
classify	vt. 把…分类， 把…分级
classmate	n. 同班同学
classroom	n. 教室，课堂
clause	n. 条款； 从句， 分句
claw	v. 抓， 撕 n. 爪，脚爪，螯
clay	n. 黏土， 泥土； 肉体
clean	adj. 清洁的；纯洁的
clear	adj. 清晰的 v. 清除
clearly	adv. 明白地，清晰地
clerk	n. 店员， 办事员， 职员
clever	adj. 聪明的；机敏的
click	v. 发出咔嗒声；点击 n. 咔嗒声
client	n. 委托人， 当事人， 顾客
cliff	n. 悬崖， 峭壁
climate	n. 气候； 风土， 地带； 风气， 气氛
climb	v. 攀登，爬
clinic	n. 诊所
cloak	n. 斗篷；覆盖（物）
clock	n. 钟，仪表
close	v. 关，闭；结束
closely	adv. 紧密地；接近地
cloth	n. 布；衣料；桌布
clothe	v. 给…穿衣服
clothes	n. 衣服，服装
clothing	n. 衣服
cloud	n. 云；云状物；阴影
cloudy	adj. 多云的；云一般的
club	n. 〔职业体育的〕俱乐部；俱乐部；夜总会
clue	n. 线索， 暗示， 提示
clumsy	adj. 笨拙的， 愚笨的； 粗陋的； 不得体的
coach	n. 长途公共汽车；教练，指导；旅客车厢 vt. 训练， 指导， 辅导
coal	n. 煤；煤块
coarse	adj. 粗的， 粗糙的； 粗劣的； 粗俗的
coast	n. 海岸，海滨（地区）
coat	n. 外套，上衣；皮毛
cock	n. 公鸡；雄禽；旋塞
code	n. 准则；法典；代码
coffee	n. 咖啡，咖啡茶
coil	n. （一）卷；线圈 v. 卷
coin	n. 硬币 v. 铸造（硬币）
cold	adj. 冷的；冷淡的 n. 冷
collaborative	adj. 合作的， 协作的， 协力完成的
collapse	v. 倒坍；塌下 n. 突然失败；突然瓦解
collar	n. 衣领；项圈
colleague	n. 同事， 同僚
collect	v. 收集；收款
collection	n. 搜集， 聚集， 积聚； 收集， 收取； 收藏品， 收集的东西
collective	adj. 集体的，集合性的 n. 团体， 集体
college	n. 学院；大学
collision	n. 碰撞； 冲突， 抵触
colonel	n. 陆军上校；中校
colony	n. 殖民地； 侨居地， 聚居地； 群体， 集群
color	n. 颜色，彩色；颜料
column	n. 柱， 支柱， 圆柱； 纵队； 栏， 专栏
comb	n. 梳子；鸡冠，冠状物 vt. 梳理； 在…搜寻； 彻底搜查
combat	n. 战争，斗争，格斗 vt. 与…斗争， 与…战斗
combination	n. 结合， 联合； 化合
combine	v. 结合， 联合； 化合 n. 联合企业； 联合收割机
come	v. 来，来到；出现
comedy	n. 喜剧， 喜剧性
comfort	n. 舒适；安慰 v. 安慰
comfortable	adj. 舒适的
command	vt. 命令， 指挥， 控制
commander	n. 司令官， 指挥员
commencement	n. 毕业典礼
comment	vi. 评论 n. 评论，意见，注释；闲话，议论
commerce	n. 商业， 贸易； 社交
commercial	adj. 商业的， 商务的； 商品化的， 商业性的
commission	n. 委任状；委员会；佣金，回扣；授权，委托 vt. 委任， 委托
commit	vt. 犯， 干； 使承诺； 把…托付给； 调拨…供使用， 拨出
commitment	n. 承诺， 许诺， 保证； 信奉， 献身； 承担的义务
committee	n. 委员会， 全体委员
common	adj. 普通的；共同的
commonly	adv. 普通地，一般地
communicate	v. 通讯； 交际， 交流； 连接， 相通； 传达， 传播； 传染
communication	n. 通讯， 交流， 交际； 通信工具， 交通联系
communism	n. 共产主义
communist	n. 共产党员
community	n. 社区， 社会， 公社； 团体， 界； 群落
companion	n. 同伴， 共事者； 伴侣
company	n. 公司，商号；同伴
comparable	adj. 可比较的； 类似的； 比得上的
comparative	adj. 比较的， 相对的
compare	vt. 比较， 对照； 把…比作
comparison	n. 比较， 对照； 比拟， 比喻
compass	n. 罗盘， 指南针； 圆规； 界限， 范围
compassion	n. 同情， 怜悯
compel	vt. 强迫， 迫使屈服
compensate	v. 弥补，补偿
compensation	n. 补偿， 赔偿
compete	vi. 比赛， 竞争， 对抗
competent	adj. 有能力的， 能胜任的
competition	n. 竞争， 比赛
competitive	adj. 竞争的， 比赛的； 好竞争的， 求胜心切的； 有竞争力的
competitiveness	n. 竞争力
competitor	n. 竞争者，对手
compile	v. 编辑，编制，搜集
complacency	n. 自满，满足
complain	vi. 抱怨， 诉苦； 控告， 投诉
complaint	n. 抱怨， 怨言； 控告
complement	v. 补充
complete	v. 完成 adj. 完整的，彻底的
completely	adv. 十分，完全地
complex	adj. 由许多部分组成的， 复合的； 复杂的， 难懂的
complicate	v. 使复杂；使陷入
complicated	adj. 复杂的， 难懂的
comply	v. 遵从
component	adj. 组成的， 构成的 n. 组成部分，部件，组件
compose	vt. 组成， 构成； 创作， 为…谱曲； 使平静， 使镇静
composition	n. 构成；作品；写作
compound	adj. 复合的， 化合的 n. 化合物，复合物；复合词 vt. 使恶化， 加重； 使化合， 使合成
comprehension	n. 理解， 理解力， 领悟； 理解力测验
comprehensive	adj. 广泛的， 综合的； 理解的
compress	vt. 压紧， 压缩
comprise	vt. 包含， 包括， 构成
compromise	v. 妥协； 危及； 放弃 n. 妥协，和解，折中办法
compute	v. 计算，估计，估算
computer	n. 计算机，电脑
comrade	n. 亲密的同伴；同志
conceal	vt. 把…隐藏起来， 掩盖， 隐瞒
concede	vt. 承认， 承认…为真； 承认失败； 允许， 让予； 让步， 认输
concentrate	v. 全神贯注，全力以赴；集中，聚集；浓缩 n. 浓缩物， 浓缩液
concentration	n. 集中； 专注， 专心； 浓缩， 浓度
concept	n. 概念， 观念， 设想
concern	n. 关切的事，有关的事；关心，挂念；关系，关联；公司，企业 vt. 涉及， 有关； 使关心， 使担心
concerning	prep. 关于
concert	n. 音乐会，演奏会
concession	n. 让步， 妥协； 特许， 特许权； 承认， 认可
conclude	v. 推断出， 推论出； 结束， 终了； 缔结， 议定
conclusion	n. 结论， 推论； 结尾； 缔结， 议定
concrete	adj. 实在的， 具体的 n. 混凝土；具体物
condemn	vt. 谴责， 指责； 判…刑， 宣告…有罪
condense	v. 冷凝， 凝结； 浓缩， 压缩， 简缩
condition	n. 状况， 状态； 环境
conduct	n. 举止， 行为； 指导； 管理； 实施 vt. 进行； 管理， 指挥， 引导； 传输， 传导
conductor	n. 售票员， 列车长； 指挥； 导体
conference	n. 会议， 讨论会； 讨论， 商谈
confess	vt. 供认， 坦白； 承认
confidence	n. 信任， 信赖； 信心， 自信
confident	adj. 确信的， 肯定的； 自信的
confidential	adj. 秘密的， 机密的； 亲信的
confine	vt. 限制， 使局限； 使不外出， 禁闭
confirm	vt. 证实， 肯定； 确认； 批准
conflict	vi. 冲突， 抵触 n. 冲突， 抵触， 争论； 战斗， 战争
conform	v. 相一致，遵守
confront	vt. 迎面遇到， 遭遇； 勇敢地面对， 正视； 使对质， 使当面对证
confrontation	n. 冲突，对抗
confuse	vt. 使困惑， 把…弄糊涂； 混淆， 把…混同； 混乱， 搞乱
confusion	n. 困惑， 糊涂； 混淆； 骚乱
congratulate	vt. 祝贺， 向…道喜
congratulation	n. 贺词； 祝贺， 恭喜
congress	n. 代表大会； [C-]国会， 议会
conjunction	n. 接合， 连接， 联合； 连词
connect	vt. 连接， 结合， 联系； 给…接通电话
connection	n. 联系， 关系； 连接， 衔接； 连贯性； 熟人， 关系
connectivity	n. 连接，联系
connexion	n. connection的英式拼法
conquer	vt. 征服， 战胜； 破除， 克服
conquest	n. 攻取， 征服， 克服
conscience	n. 良心， 道德心
conscious	adj. 意识到的， 自觉的； 神志清醒的； 有意的， 存心的
consciousness	n. 意识，觉悟；知觉
consensus	n. 一致意见
consent	v. 允许，同意 n. 同意，赞同
consequence	n. 结果， 后果； 重要， 重大
consequently	adv. 因此， 因而， 所以
conservation	n. 保存； 保护； 守恒
conservative	adj. 保守的，守旧的；不时兴的，传统的 n. 保守的人
consider	v. 考虑；认为；关心
considerable	adj. 相当大的； 重要的
considerably	adv. 相当地，非常地
considerate	adj. 考虑周到的， 体贴的， 体谅的
consideration	n. 考虑， 思考， 要考虑的事； 体贴， 关心
considering	prep. 鉴于， 考虑到， 顾及
consist	vi. 由…组成； 在于； 一致
consistent	adj. 坚持的， 一贯的； 一致的， 符合的
conspicuous	adj. 显著地
constant	adj. 经常的，不断的，连续发生的；永恒的；忠实的，忠诚的 n. 常数， 恒量
constantly	adv. 不断地，时常地
constitute	vt. 组成， 形成； 设立； 任命
constitution	n. 宪法， 章程； 组成； 设立
construct	vt. 建造； 构思 n. 建筑物； 构想， 观念
construction	n. 建造； 建筑物； 结构
constructive	adj. 建设的，建设性的
consult	vt. 请教； 查阅； 商议
consultancy	n. 咨询公司
consultant	n. 顾问； 会诊医师， 专科医生
consume	vt. 消费， 吃完， 喝光； 毁灭； 使着迷， 充满
consumer	n. 消费者， 用户， 消耗者
consumption	n. 消耗量；消耗
contact	n. 接触；联系，交往 vt. 与…接触， 与…取得联系
contain	v. 包含，容纳
container	n. 容器； 集装箱
contaminate	v. 污染，弄脏
contemporary	adj. 当代的；同时代的 n. 同代人， 当代人
contempt	n. 轻蔑；藐视；受辱
content	adj. 满意的，满足的
contest	n. 竞赛， 争夺 vt. 争夺， 与…竞争； 对…提出质疑， 辩驳
context	n. 背景，环境
continent	n. 大陆；陆地；洲
continual	adj. 连续的； 频频的
continue	v. 继续，连续；延伸
continuous	adj. 连续不断的； 延伸的
contract	v. 缩小； 订合同； 感染， 染上 n. 契约， 合同
contradiction	n. 矛盾， 不一致； 否认， 反驳
contrary	adj. 相反的 n. 相反
contrast	vi. 形成对比， 对比之下显出区别 n. 对比， 对照； 反差 vt. 对比，对照
contribute	v. 捐献， 捐款； 投稿
contribution	n. 贡献， 促成作用； 捐款， 捐献物； 稿件
control	v. 控制；克制 n. 控制
controversial	adj. 引起争论的， 有争议的
controversy	n. 争论， 辩论
convenience	n. 便利，方便；厕所
convenient	adj. 便利的；近便的
convention	n. 习俗， 惯例； 公约； 会议
conventional	adj. 普通的； 习惯的， 常规的； 因循守旧的
conversation	n. 会话，非正式会谈
conversely	adv. 相反地
conversion	n. 转变，转化；改变
convert	v. 转变， 转化； 改变
convey	vt. 表达， 传递； 运送， 输送
convict	vt. 证明…有罪， 宣判…有罪 n. 囚犯
conviction	n. 确信； 坚定的信仰； 说服， 信服； 定罪， 判罪
convince	vt. 使确信， 使信服， 说服
convincing	adj. 令人信服的
cook	v. 烹调，煮；烧菜
cool	adj. 凉的；冷静的
cooperate	vi. 合作， 协作； 配合
cooperative	adj. 合作的
coordinate	adj. 同等的， 并列的 vt. 协调， 调节 n. 坐标
coordination	n. 同等； 调和
cop	n. 警察
cope	vi. 应付， 处理
copper	n. 铜； 铜币， 铜制器
copy	n. 抄件 v. 抄写，复制
copyright	n. 版权
cord	n. 细绳， 粗线， 索； 灯芯绒裤
